env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,arc-challenge,01H9KWCW6AZGME55D91JZ0HBVM,,133.93,0.2785234899328859,2.1727747917175293,0.26580373157371673,0.2785234899328859,2.3694,298,125.772,16.038,0.26706484641638223,2.0534565448760986,0.24883152544708054,0.26706484641638223,9.3615,1172,125.194,15.703,,01H9KWCW6C9JZH8XHWY74943ZR,arc-challenge-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,arc-challenge,01H9KWCZ42CF3WVNFE75H2APZ5,,,,,,,,,,,,,,,,,,,2023-09-06 00:20:59.2217 +0000 UTC,01H9KWCZ44YBG4CZGRVW03D4FP,arc-challenge-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,arc-challenge,01H9KWCZ42CF3WVNFE75H2APZ5,,133.93,0.2785234899328859,2.1727747917175293,0.26580373157371673,0.2785234899328859,2.3337,298,127.694,16.283,0.26706484641638223,2.0534565448760986,0.24883152544708054,0.26706484641638223,9.1544,1172,128.025,16.058,,01H9KWCZ44YBG4CZGRVW03D4FP,arc-challenge-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,arc-challenge,01H9KWD263MWR4V9CC5V5D2G81,,133.93,0.27181208053691275,1.4327389001846313,0.2305739123593738,0.27181208053691275,1.9283,298,154.538,19.706,0.2636518771331058,1.4340037107467651,0.23425698162597064,0.2636518771331058,7.5387,1172,155.465,19.499,,01H9KWD2664VESSQWGCH5YHZTZ,arc-challenge-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,arc-challenge,01H9MFZ0MXZ740XV0TH9TWCKEF,,133.93,0.2785234899328859,2.429291009902954,0.26965971935224253,0.2785234899328859,2.6363,298,113.035,14.414,0.2568259385665529,2.4176957607269287,0.25215351522677115,0.2568259385665529,10.2435,1172,114.414,14.351,,01H9MFZ0MZ7N9HWMYZPK24ZC5X,arc-challenge-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,2,arc-challenge,01H9MFZ3NX44MD9QD2ER19DEB1,,133.93,0.2785234899328859,2.429291009902954,0.26965971935224253,0.2785234899328859,2.6025,298,114.507,14.602,0.2568259385665529,2.4176957607269287,0.25215351522677115,0.2568259385665529,10.1316,1172,115.677,14.509,,01H9MFZ3P00V4D05ZNB4VS1WHM,arc-challenge-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,3,arc-challenge,01H9MFZ6KPY5EHYCJ1DH5BTHH5,,133.93,0.2785234899328859,2.429291009902954,0.26965971935224253,0.2785234899328859,2.6245,298,113.547,14.479,0.2568259385665529,2.4176957607269287,0.25215351522677115,0.2568259385665529,10.2343,1172,114.517,14.363,,01H9MFZ6KR90191HV37KVA6A2V,arc-challenge-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,arc-challenge,01H9MHQV9DTAYZC4Q9F05MHM20,,133.93,0.26174496644295303,2.3046927452087402,0.2625741508694705,0.26174496644295303,2.5856,298,115.255,14.697,0.26109215017064846,2.3101627826690674,0.2549370264469607,0.26109215017064846,10.0975,1172,116.068,14.558,,01H9MHQV9FDMK5A4PH4NR39V4Y,arc-challenge-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,arc-challenge,01H9MHQYBXHMYE1K4ZHHQ2DC24,,133.93,0.28187919463087246,1.7461268901824951,0.25153030226621614,0.28187919463087246,3.3211,298,89.73,11.442,0.2721843003412969,1.724092960357666,0.2522345580647718,0.2721843003412969,12.4855,1172,93.869,11.774,,01H9MHQYBZ6FAR1VQ7DNATGRZM,arc-challenge-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,arc-challenge,01H9MHR18PZR4FMGB8S85ADAPX,,133.93,0.26174496644295303,2.450039863586426,0.24940502234191556,0.26174496644295303,2.5258,298,117.982,15.045,0.26109215017064846,2.417447090148926,0.25292713185470983,0.26109215017064846,9.8853,1172,118.56,14.871,,01H9MHR18R42KF0QPNG8AJZ63W,arc-challenge-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
