env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,hellaswag,01H9P525W86SC2B9BDP16F3T6W,,,,,,,,,,,2023-09-06 21:20:54.518125 +0000 UTC,01H9P525WBYT0J1631NWE6B00H,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,hellaswag,01H9P525W86SC2B9BDP16F3T6W,,3.76,0.4552877912766381,1.2356948852539062,0.44159994988894824,0.4552877912766381,79.9274,10042,125.639,15.714,,01H9P525WBYT0J1631NWE6B00H,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,hellaswag,01H9P5292YHJGK5Z5RJEMX7K75,,,,,,,,,,,2023-09-06 21:47:40.57715 +0000 UTC,01H9P52930E5YJSQ5A4JCQK9PF,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,hellaswag,01H9P5292YHJGK5Z5RJEMX7K75,,3.76,0.4244174467237602,1.2649098634719849,0.40506913247865634,0.4244174467237602,79.9916,10042,125.538,15.702,,01H9P52930E5YJSQ5A4JCQK9PF,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,hellaswag,01H9P52C063D5RWF69DPESAS50,,3.76,0.4552877912766381,1.2384172677993774,0.44248853476206995,0.4552877912766381,77.2685,10042,129.962,16.255,,01H9P52C09SHE6W89KV7KCRMZ1,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,hellaswag,01H9P52C063D5RWF69DPESAS50,,,,,,,,,,,2023-09-06 21:15:09.95556 +0000 UTC,01H9P52C09SHE6W89KV7KCRMZ1,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,hellaswag,01H9P52C063D5RWF69DPESAS50,,,,,,,,,,,2023-09-06 22:18:16.43332 +0000 UTC,01H9P52C09SHE6W89KV7KCRMZ1,hellaswag-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,hellaswag,01H9P8XGC5C9C2V4X2ET0CNB6M,,3.76,0.34554869547898825,1.3243943452835083,0.32158469981337073,0.34554869547898825,82.9064,10042,121.125,15.15,,01H9P8XGC7E3BD0Q0BKGCNM1VX,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,hellaswag,01H9P8XGC5C9C2V4X2ET0CNB6M,,,,,,,,,,,2023-09-06 22:48:12.32412 +0000 UTC,01H9P8XGC7E3BD0Q0BKGCNM1VX,hellaswag-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,hellaswag,01H9P8XKAWRQEYV880WXWEH6G0,,3.76,0.3708424616610237,1.3071675300598145,0.3378699655959367,0.3708424616610237,87.8556,10042,114.301,14.296,,01H9P8XKAYYKNR4G1S5SQZM9M5,hellaswag-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
