env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,mnli,01H9KWDDVT607XDD9GYJ0HG5E8,,0.38,0.8479877738155884,0.4306720793247223,0.8473830191843862,0.8479877738155884,76.5581,9815,128.203,16.027,0.8527257933279089,0.4261930584907532,0.8520652038170926,0.8527257933279089,76.6045,9832,128.348,16.043,,01H9KWDDVW9P18TN39PSJHSDXA,mnli-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,mnli,01H9KWDKS56ZJPRXGGX8HPX4TV,,0.38,0.8495160468670403,0.42665016651153564,0.8488241704563072,0.8495160468670403,62.2781,9815,157.6,19.702,0.852013832384052,0.42211997509002686,0.8513558034549443,0.852013832384052,62.359,9832,157.668,19.708,,01H9KWDKS7FG9QDEFNNN6W7WWS,mnli-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,mnli,01H9KWDNWTR6056R2H4F4PNM5V,,0.38,0.8479877738155884,0.4306720793247223,0.8473830191843862,0.8479877738155884,78.7686,9815,124.605,15.577,0.8527257933279089,0.42619308829307556,0.8520652038170926,0.8527257933279089,78.7113,9832,124.912,15.614,,01H9KWDNWW54TD6GMTGG8TTPQT,mnli-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,mnli,01H9MFZJFB1D3D2QG268PKZ04V,,0.38,0.8328069281711665,0.4573891758918762,0.8318831325714285,0.8328069281711665,89.8042,9815,109.293,13.663,0.8390968266883645,0.45607152581214905,0.838127470327743,0.8390968266883645,90.4956,9832,108.646,13.581,,01H9MFZJFEP0618C9G39QJZWXS,mnli-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,2,mnli,01H9MFZNE6RVNS4KCED42QM918,,0.38,0.8328069281711665,0.4573891758918762,0.8318831325714285,0.8328069281711665,89.1322,9815,110.117,13.766,0.8390968266883645,0.45607197284698486,0.838127470327743,0.8390968266883645,90.0394,9832,109.197,13.65,,01H9MFZNE8PKP9XSJN70WNCTNQ,mnli-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,3,mnli,01H9MFZRBDRYZ2WTRG1D9PKFPD,,0.38,0.8328069281711665,0.457389235496521,0.8318831325714285,0.8328069281711665,89.9545,9815,109.111,13.64,0.8390968266883645,0.45607197284698486,0.838127470327743,0.8390968266883645,89.5137,9832,109.838,13.73,,01H9MFZRBFNXSFTTB5NVRVA30W,mnli-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mnli,01H9MHW9ADF876YC19GKT07M97,,,,,,,,,,,,,,,,,,,2023-09-06 13:51:43.762276 +0000 UTC,01H9MHW9AF9XDYAGWQPTFEY2AP,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mnli,01H9MHW9ADF876YC19GKT07M97,,,,,,,,,,,,,,,,,,,2023-09-06 16:02:49.358623 +0000 UTC,01H9MHW9AF9XDYAGWQPTFEY2AP,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mnli,01H9MHW9ADF876YC19GKT07M97,,,,,,,,,,,,,,,,,,,2023-09-06 19:03:26.049741 +0000 UTC,01H9MHW9AF9XDYAGWQPTFEY2AP,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mnli,01H9MHW9ADF876YC19GKT07M97,,,,,,,,,,,,,,,,,,,2023-09-06 17:46:36.039108 +0000 UTC,01H9MHW9AF9XDYAGWQPTFEY2AP,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
